"Ticker.symbol","date","GICS.Sector","Address.of.Headquarters","close","X","Accounts.Payable","Accounts.Receivable","Add.l.income.expense.items","After.Tax.ROE","Capital.Expenditures","Capital.Surplus","Cash.Ratio","Cash.and.Cash.Equivalents","Changes.in.Inventories","Common.Stocks","Cost.of.Revenue","Current.Ratio","Deferred.Asset.Charges","Deferred.Liability.Charges","Depreciation","Earnings.Before.Interest.and.Tax","Earnings.Before.Tax","Effect.of.Exchange.Rate","Equity.Earnings.Loss.Unconsolidated.Subsidiary","Fixed.Assets","Goodwill","Gross.Margin","Gross.Profit","Income.Tax","Intangible.Assets","Interest.Expense","Inventory","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Minority.Interest","Misc..Stocks","Net.Borrowings","Net.Cash.Flow","Net.Cash.Flow.Operating","Net.Cash.Flows.Financing","Net.Cash.Flows.Investing","Net.Income","Net.Income.Adjustments","Net.Income.Applicable.to.Common.Shareholders","Net.Income.Cont..Operations","Net.Receivables","Non.Recurring.Items","Operating.Income","Operating.Margin","Other.Assets","Other.Current.Assets","Other.Current.Liabilities","Other.Equity","Other.Financing.Activities","Other.Investing.Activities","Other.Liabilities","Other.Operating.Activities","Other.Operating.Items","Pre.Tax.Margin","Pre.Tax.ROE","Profit.Margin","Quick.Ratio","Research.and.Development","Retained.Earnings","Sale.and.Purchase.of.Stock","Sales..General.and.Admin.","Short.Term.Debt...Current.Portion.of.Long.Term.Debt","Short.Term.Investments","Total.Assets","Total.Current.Assets","Total.Current.Liabilities","Total.Equity","Total.Liabilities","Total.Liabilities...Equity","Total.Revenue","Treasury.Stock","For.Year","Earnings.Per.Share","Estimated.Shares.Outstanding"
"AAL","2012-12-31","Industrials","Fort Worth, Texas",13.5,0,3.068e+09,-2.22e+08,-1.961e+09,23,-1.888e+09,4.695e+09,53,1.33e+09,0,1.27e+08,1.0499e+10,78,0,2.23e+08,1.001e+09,-1.813e+09,-2.445e+09,0,0,1.3402e+10,0,58,1.4356e+10,-5.69e+08,8.69e+08,6.32e+08,5.8e+08,3.06e+08,4.73e+08,7.116e+09,0,0,0,-1.02e+09,1.97e+08,1.285e+09,4.83e+08,-1.571e+09,-1.876e+09,2.05e+09,-1.876e+09,-4.084e+09,1.124e+09,3.86e+08,1.48e+08,1,2.167e+09,6.26e+08,4.524e+09,-2.98e+09,1.509e+09,1.1e+07,1.5147e+10,-1.41e+08,8.45e+08,10,31,8,72,0,-9.462e+09,0,1.2977e+10,1.419e+09,3.412e+09,2.351e+10,7.072e+09,9.011e+09,-7.987e+09,2.4891e+10,1.6904e+10,2.4855e+10,-3.67e+08,2012,-5.6,3.35e+08
"AAL","2013-12-31","Industrials","Fort Worth, Texas",25.25,1,4.975e+09,-9.3e+07,-2.723e+09,67,-3.114e+09,1.0592e+10,75,2.175e+09,0,5e+06,1.1019e+10,104,0,9.35e+08,1.02e+09,-1.324e+09,-2.18e+09,0,0,1.9259e+10,4.086e+09,59,1.5724e+10,-3.46e+08,2.311e+09,8.56e+08,1.012e+09,-1.181e+09,-2.35e+08,1.5353e+10,0,0,0,2.208e+09,6.6e+08,6.75e+08,3.799e+09,-3.814e+09,-1.834e+09,1.873e+09,-1.834e+09,-4.489e+09,1.56e+09,5.59e+08,1.399e+09,5,2.299e+09,1.465e+09,7.385e+09,-2.032e+09,1.711e+09,4.81e+08,1.4915e+10,-5.6e+07,8.53e+08,8,80,7,96,0,-1.1296e+10,0,1.2913e+10,1.446e+09,8.111e+09,4.2278e+10,1.4323e+10,1.3806e+10,-2.731e+09,4.5009e+10,4.2278e+10,2.6743e+10,0,2013,-11.25,163022222.222
"AAL","2014-12-31","Industrials","Fort Worth, Texas",53.630001,2,4.668e+09,-1.6e+08,-1.5e+08,143,-5.311e+09,1.5135e+10,60,1.768e+09,0,7e+06,1.562e+10,88,0,8.29e+08,1.342e+09,4.099e+09,3.212e+09,0,0,2.3084e+10,4.091e+09,63,2.703e+10,3.3e+08,2.24e+09,8.87e+08,1.004e+09,1.799e+09,-1.026e+09,1.6043e+10,0,0,0,1.7e+08,-1.46e+08,3.08e+09,-3.15e+08,-2.911e+09,2.882e+09,5.42e+08,2.882e+09,2.882e+09,1.771e+09,8e+08,4.249e+09,10,2.06e+09,8.98e+08,7.059e+09,-4.559e+09,8.17e+08,6.01e+08,1.0928e+10,-5e+08,1.295e+09,8,159,7,80,0,-8.562e+09,-1.052e+09,2.0686e+10,1.677e+09,6.309e+09,4.3225e+10,1.175e+10,1.3404e+10,2.021e+09,4.1204e+10,4.3225e+10,4.265e+10,0,2014,4.02,716915422.886
"AAL","2015-12-31","Industrials","Fort Worth, Texas",42.349998,3,5.102e+09,3.52e+08,-7.08e+08,135,-6.151e+09,1.1591e+10,51,1.085e+09,0,6e+06,1.1096e+10,73,2.477e+09,6.67e+08,1.487e+09,5.496e+09,4.616e+09,0,0,2.751e+10,4.091e+09,73,2.9894e+10,-2.994e+09,2.249e+09,8.8e+08,8.63e+08,4.43e+08,-6.33e+08,1.833e+10,0,0,0,2.856e+09,-6.04e+08,6.249e+09,-1.259e+09,-5.594e+09,7.61e+09,-2.662e+09,7.61e+09,7.61e+09,1.425e+09,1.051e+09,6.204e+09,15,2.103e+09,7.48e+08,6.272e+09,-4.732e+09,9.6e+07,1.14e+08,1.0178e+10,9.5e+07,1.364e+09,11,82,19,67,0,-1.23e+09,-3.846e+09,2.1275e+10,2.231e+09,5.864e+09,4.8415e+10,9.985e+09,1.3605e+10,5.635e+09,4.278e+10,4.8415e+10,4.099e+10,0,2015,11.39,668129938.543
"ABBV","2013-12-31","Health Care","North Chicago, Illinois",52.810001,13,6.448e+09,6.81e+08,-5.4e+07,92,-4.91e+08,3.671e+09,144,9.595e+09,-5.6e+07,1.6e+07,4.581e+09,259,0,0,8.97e+08,5.61e+09,5.332e+09,-1e+07,0,2.298e+09,6.277e+09,76,1.4209e+10,1.204e+09,1.89e+09,2.78e+08,1.15e+09,1.775e+09,-4.26e+08,1.4292e+10,1.18e+08,0,0,-6.01e+08,3.694e+09,6.267e+09,-3.442e+09,8.79e+08,4.128e+09,5.84e+08,4.128e+09,4.128e+09,5.569e+09,3.38e+08,5.664e+09,30,7.67e+08,1.234e+09,0,-4.42e+08,-3.13e+08,-4.05e+08,3.535e+09,4.59e+08,0,28,119,22,243,2.855e+09,1.567e+09,2.7e+07,5.352e+09,4.31e+08,3e+08,2.9198e+10,1.7848e+10,6.879e+09,4.492e+09,2.4706e+10,2.9198e+10,1.879e+10,-3.2e+08,2013,2.58,1.6e+09
"ABBV","2014-12-31","Health Care","North Chicago, Illinois",65.440002,14,6.954e+09,-1.72e+08,-6.51e+08,102,-6.12e+08,4.194e+09,74,8.348e+09,-2.03e+08,1.6e+07,4.426e+09,141,0,1.59e+08,7.86e+08,2.76e+09,2.369e+09,-5.77e+08,0,2.485e+09,5.862e+09,78,1.5534e+10,5.95e+08,1.513e+09,3.91e+08,1.124e+09,3.08e+08,-1.93e+08,1.0538e+10,9.2e+07,0,0,-5e+06,-1.247e+09,3.549e+09,-3.293e+09,-9.26e+08,1.774e+09,1.777e+09,1.774e+09,1.774e+09,4.631e+09,3.52e+08,3.411e+09,17,1.48e+09,1.952e+09,0,-2.031e+09,-5.9e+07,-6.22e+08,3.681e+09,-2.2e+08,0,12,136,9,131,3.297e+09,5.35e+08,-4.27e+08,8.474e+09,4.439e+09,2.6e+07,2.7513e+10,1.6081e+10,1.1393e+10,1.742e+09,2.5771e+10,2.7513e+10,1.996e+10,-9.72e+08,2014,1.11,1598198198.2
"ABBV","2015-12-31","Health Care","North Chicago, Illinois",59.240002,15,8.463e+09,-1.076e+09,-2.06e+08,130,-5.32e+08,1.308e+10,77,8.399e+09,-4.34e+08,1.7e+07,4.5e+09,150,0,5.276e+09,8.36e+08,7.331e+09,6.645e+09,-3e+08,0,2.565e+09,1.3168e+10,80,1.8359e+10,1.501e+09,1.9709e+10,6.86e+08,1.719e+09,2.9e+07,1.503e+09,2.924e+10,1.45e+08,0,0,1.6623e+10,5.1e+07,7.535e+09,5.752e+09,-1.2936e+10,5.144e+09,1.051e+09,5.144e+09,5.144e+09,4.73e+09,1.5e+08,7.537e+09,33,1.149e+09,1.458e+09,0,-2.561e+09,3e+07,-1.2433e+10,3.695e+09,5.11e+08,0,29,168,23,134,4.285e+09,2.248e+09,-7.425e+09,6.387e+09,2.431e+09,8e+06,5.305e+10,1.6314e+10,1.0894e+10,3.945e+09,4.9105e+10,5.305e+10,2.2859e+10,-8.839e+09,2015,3.15,1633015873.02
"ABC","2013-09-30","Health Care","Chesterbrook, Pennsylvania",61.099998,16,14870635000,-2312518000,-44000,19,-202450000,2360992000,8,1231006000,-1486572000,2678000,85451348000,97,0,0,170793000,898355000,824458000,0,0,803561000,0,3,2507819000,331023000,3499713000,73897000,6981494000,0,3830847000,1396606000,0,0,0,0,164398000,788125000,-740987000,117260000,433707000,235476000,433707000,493435000,6051920000,0,898399000,1,221713000,129231000,0,-35483000,-50538000,319710000,331652000,-169745000,162186000,1,36,0,50,0,1508414000,-328463000,1447234000,0,0,18918638000,14393651000,14870635000,2319745000,16598893000,18918638000,87959167000,-1516856000,2013,1.88,230695212.766
"ABC","2014-09-30","Health Care","Chesterbrook, Pennsylvania",77.300003,17,17250160000,-938286000,-28594000,14,-264457000,2749185000,10,1808513000,-1304569000,2711000,116586761000,97,0,241205000,196617000,753497000,669863000,0,0,899582000,0,2,2982366000,388087000,3481744000,83634000,8593852000,-117794000,2310596000,1995632000,0,0,0,566402000,577507000,1464654000,-502992000,-384155000,274230000,912505000,274230000,281776000,6312883000,0,782091000,1,350652000,84957000,0,-52046000,0,-1904000,88287000,21107000,188680000,1,34,0,48,0,1570429000,-626020000,2011595000,0,0,21532183000,16800205000,17250160000,1956899000,19575284000,21532183000,119569127000,-2313380000,2014,1.22,224778688.525
"ABC","2015-09-30","Health Care","Chesterbrook, Pennsylvania",94.989998,18,21578227000,-1478793000,-44220000,22,-231585000,3736477000,10,2167442000,-1379189000,2750000,132432490000,94,0,1944240000,255988000,3.78e+08,268964000,0,0,1192510000,4144391000,3,3529313000,407129000,1993119000,109036000,9755094000,-86214000,5122127000,3739225000,0,0,0,1496390000,358929000,3922228000,-632134000,-2931165000,-138165000,1577391000,-138165000,-138165000,8222951000,0,422220000,0,298474000,189001000,0,-136333000,0,-2613366000,84904000,-37131000,248635000,0,44,0,49,0,1164489000,-1665115000,2858458000,0,0,27962982000,20334488000,21578227000,616386000,27346596000,27962982000,135961803000,-4150997000,2015,-0.62,222846774.194
